sample,response,timepoint,n_cells,betweenness,betti1_auc,acinar_prop,spatial_entropy
YP03A,NR,Pre,953,0.010063103165536576,480.0,0.0409233997901364,3.607936055518358
YP03C,NR,Post,863,0.0008382379858896727,437.5,0.0347624565469293,3.5083391640316766
YP04C,NR,Post,1914,0.0030714993381775347,968.5,0.0114942528735632,3.424244434780839
YP12A,R,Pre,1426,0.00753682145306851,718.5,0.0455820476858345,3.665654258921047
YP12C,R,Post,914,0.012313314169853536,469.0,0.1148796498905908,3.681212142935576
YP15A,R,Pre,1448,0.0072721965317464245,734.5,0.0497237569060773,3.5798599838031255
YP15C,R,Post,1407,0.009390641212800322,721.0,0.0461975835110163,3.7202097737331505
