Ductal_Epithelial,Acinar,Endocrine,CAF_mCAF,CAF_iCAF,Stellate_PSC,T_cells,NK_cells,B_cells,Macrophage,Myeloid_DC,Mast_cells,Endothelial,Lymphatic,Neural,sample,response,dominant_type,mixture_entropy
0.0627985783485747,0.05303908831533499,0.046713059691258586,0.07613970856448954,0.060084537121532014,0.10670626926364153,0.06121661716259625,0.04222553887002209,0.050931249733779514,0.05352744602209892,0.05123760501749762,0.05517913377658098,0.10244624279680675,0.09847592532869084,0.0792789999870957,YP03A,NR,Mixed,2.6642075984850377
0.04039977964260779,0.0699632875341908,0.05454083406612557,0.08188356267704748,0.04768043876559371,0.06847582385006881,0.04831775892681175,0.04830631081882793,0.06558584539847963,0.03881186500019211,0.08526711596197399,0.05898651898888932,0.04836741728811753,0.18199751386493618,0.06141592721613729,YP03A,NR,Mixed,2.610372812341321
0.067812665873339,0.0791590344461136,0.06600693895458053,0.05803307621100827,0.08264834676672855,0.07544978152649258,0.08982398141763792,0.05494141552497887,0.06129586997087715,0.04906867639013606,0.06708471336971795,0.062380834788033704,0.05690542435176786,0.0604531751623933,0.06893606524619461,YP03A,NR,Mixed,2.6952812813157276
0.02877070884309227,0.04905179899527917,0.05242347076846544,0.036082108477471515,0.044525160831364305,0.01531695054061375,0.1352688107789169,0.09505032136389949,0.1072423285675398,0.040807927044331324,0.08910371515126708,0.1564964146210461,0.04940484253302242,0.04603953049359085,0.05441591099009951,YP03A,NR,Mixed,2.5456583900487453
0.05702423672263634,0.06333961135433151,0.05803159747989708,0.06796137012873296,0.046851758260322104,0.07910757296734261,0.08471006045797397,0.046123322917037024,0.11268223886097378,0.05151726851023652,0.05738294825127722,0.05446587516042591,0.10489151791551696,0.05337107077165486,0.06253955024164125,YP03A,NR,Mixed,2.668715743125908
0.10816865414221521,0.05676977533693728,0.0398054757447224,0.08026174035952484,0.08588402888794051,0.0906206971932705,0.07208470004912998,0.05230397054283581,0.05578979110221025,0.06413770135829798,0.06918107808747008,0.03762022255531445,0.07446737556919837,0.05774684820583885,0.055157940865093694,YP03A,NR,Mixed,2.6698269013866947
0.07826929301367683,0.05716561070057306,0.04522758549922287,0.06946008267185279,0.060088659487343814,0.07907651775657484,0.06744945533723354,0.03980588337814532,0.05343635622150643,0.06000718619260251,0.0610793845243521,0.04573494705687051,0.06367067412508896,0.06447283098137208,0.15505553305358433,YP03A,NR,Mixed,2.6463846843790493
0.10750862133153438,0.0651657109844616,0.06698484862207359,0.0657396856384616,0.08688282466478861,0.04680603649860683,0.06084792671135658,0.06358233939162737,0.04744733191236065,0.07047738937432377,0.06159814083881578,0.061724427873813575,0.06559628959935963,0.06515552687196562,0.06448289968645043,YP03A,NR,Mixed,2.6874203452644423
0.07258869118863971,0.06507918250874031,0.062389831033462566,0.035008664517245845,0.05497843817161153,0.0877568248854818,0.08933450242154127,0.05606110541410845,0.07743986112605493,0.08535072948406124,0.05960944514950042,0.06563035351843793,0.0601031881693203,0.06195015473004505,0.06671902768174869,YP03A,NR,Mixed,2.685903440121001
0.060263500811287854,0.04309872555113275,0.044521675607942034,0.07812684429971853,0.06161868024145855,0.09260316174949682,0.09801272515812195,0.06040863202537951,0.07764165992000818,0.09918241030577944,0.08919408172992041,0.046377637841010386,0.04524345059511012,0.06359792008448034,0.04010889407915312,YP03A,NR,Mixed,2.661665752118442
